File,UR,Test Time
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_D022625_036614a_26Feb2025062254.mat,0.792465780941018,2025-02-26 06:22:54
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_D022625_036614R_26Feb2025131619.mat,0.7893497609451323,2025-02-26 13:16:19
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_D041024_019229-09_10Apr2024125157.mat,0.41165181682412205,2024-04-10 12:51:57
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_D090225_Test-low_02Sep2025111332.mat,0.6909893528173373,2025-09-02 11:13:32
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DAirback_ABT2m-24_17Jul2023123606.mat,0.8317944046118276,2023-07-17 12:36:06
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DBipasa_BF-05_05Mar2024120225.mat,0.9334152203058779,2024-03-05 12:02:25
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DBipasa_BR-05_05Mar2024121353.mat,0.6595145870064745,2024-03-05 12:13:53
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DDAN_G-02_01Oct2024054618.mat,0.7348555075398042,2024-10-01 05:46:18
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DDan_W-05-1_12Mar2024065942.mat,0.7712283595770595,2024-03-12 06:59:42
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DDan_W-09-1_12Mar2024071539.mat,0.6426810605828133,2024-03-12 07:15:39
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DDan_W-12-1_12Mar2024075717.mat,0.7572787947697629,2024-03-12 07:57:17
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_Ddemo_demo_22Oct2023121254.mat,0.5173831481734161,2023-10-22 12:12:54
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_Ddemo_demo_22Oct2023121524.mat,0.5145597897034,2023-10-22 12:15:24
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_Ddemo_demo_22Oct2023142639.mat,0.5135108716763148,2023-10-22 14:26:39
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_Ddemo_demo_22Oct2023143718.mat,0.5142703895626546,2023-10-22 14:37:18
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DGroup B3_B3-01_25Jan2024123851.mat,0.5022884755757026,2024-01-25 12:38:51
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DGroup B3_B3-07_25Jan2024130748.mat,0.6639304619438512,2024-01-25 13:07:48
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DGroup B3_B3-08_25Jan2024131228.mat,0.6218795129280142,2024-01-25 13:12:28
